code,year,Political stability
AF,1991,
AF,1984,
AF,2016,
AF,1977,
AF,2009,-2.7
AF,1970,
AF,2002,-2.21
AF,1963,
AF,1995,
AF,1988,
AF,1981,
AF,2013,-2.5
AF,1974,
AF,2006,-2.23
AF,1967,
AF,1999,
AF,1960,
AF,1992,
AF,1985,
AF,1978,
AF,2010,-2.55
AF,1971,
AF,2003,-2.26
AF,1964,
AF,1996,-2.54
AF,1989,
AF,1982,
AF,2014,-2.46
AF,1975,
AF,2007,-2.4
AF,1968,
AF,2000,-2.57
AF,1961,
AF,1993,
AF,1986,
AF,1979,
AF,2011,-2.48
AF,1972,
AF,2004,-2.3
AF,1965,
AF,1997,
AF,1990,
AF,1983,
AF,2015,
AF,1976,
AF,2008,-2.69
AF,1969,
AF,2001,
AF,1962,
AF,1994,
AF,1987,
AF,1980,
AF,2012,-2.39
AF,1973,
AF,2005,-2.09
AF,1966,
AF,1998,-2.57
AL,1986,
AL,1979,
AL,2011,-0.29
AL,1972,
AL,2004,-0.45
AL,1965,
AL,1997,
AL,1990,
AL,1983,
AL,2015,
AL,1976,
AL,2008,-0.03
AL,1969,
AL,2001,
AL,1962,
AL,1994,
AL,1987,
AL,1980,
AL,2012,-0.16
AL,1973,
AL,2005,-0.49
AL,1966,
AL,1998,-0.66
AL,1991,
AL,1984,
AL,2016,
AL,1977,
AL,2009,-0.05
AL,1970,
AL,2002,-0.39
AL,1963,
AL,1995,
AL,1988,
AL,1981,
AL,2013,0.05
AL,1974,
AL,2006,-0.49
AL,1967,
AL,1999,
AL,1960,
AL,1992,
AL,1985,
AL,1978,
AL,2010,-0.19
AL,1971,
AL,2003,-0.33
AL,1964,
AL,1996,-0.43
AL,1989,
AL,1982,
AL,2014,0.47
AL,1975,
AL,2007,-0.2
AL,1968,
AL,2000,-0.65
AL,1961,
AL,1993,
DZ,1988,
DZ,1981,
DZ,2013,-1.18
DZ,1974,
DZ,2006,-1.12
DZ,1999,
DZ,1967,
DZ,1992,
DZ,1960,
DZ,1985,
DZ,1978,
DZ,2010,-1.26
DZ,2003,-1.78
DZ,1971,
DZ,1996,-1.86
DZ,1964,
DZ,1989,
DZ,1982,
DZ,2014,-1.17
DZ,1975,
DZ,2007,-1.13
DZ,2000,-1.5
DZ,1968,
DZ,1993,
DZ,1961,
DZ,1986,
DZ,1979,
DZ,2011,-1.36
DZ,2004,-1.37
DZ,1972,
DZ,1997,
DZ,1965,
DZ,1990,
DZ,1983,
DZ,2015,
DZ,1976,
DZ,2008,-1.09
DZ,2001,
DZ,1969,
DZ,1994,
DZ,1962,
DZ,1987,
DZ,1980,
DZ,2012,-1.32
DZ,2005,-0.93
DZ,1973,
DZ,1998,-1.96
DZ,1966,
DZ,1991,
DZ,1984,
DZ,2016,
DZ,1977,
DZ,2009,-1.22
DZ,2002,-1.7
DZ,1970,
DZ,1995,
DZ,1963,
AD,1961,
AD,1993,
AD,1986,
AD,1979,
AD,2011,1.34
AD,1972,
AD,2004,1.43
AD,1965,
AD,1997,
AD,1990,
AD,1983,
AD,2015,
AD,1976,
AD,2008,1.38
AD,1969,
AD,2001,
AD,1962,
AD,1994,
AD,1987,
AD,1980,
AD,2012,1.32
AD,1973,
AD,2005,1.42
AD,1966,
AD,1998,1.11
AD,1991,
AD,1984,
AD,2016,
AD,1977,
AD,2009,1.32
AD,1970,
AD,2002,1.21
AD,1963,
AD,1995,
AD,1988,
AD,1981,
AD,2013,1.32
AD,1974,
AD,2006,1.4
AD,1967,
AD,1999,
AD,1960,
AD,1992,
AD,1985,
AD,1978,
AD,2010,1.31
AD,1971,
AD,2003,1.46
AD,1964,
AD,1996,1.11
AD,1989,
AD,1982,
AD,2014,1.33
AD,1975,
AD,2007,1.38
AD,1968,
AD,2000,1.1
AO,1963,
AO,1995,
AO,1988,
AO,1981,
AO,2013,-0.39
AO,1974,
AO,2006,-0.54
AO,1967,
AO,1999,
AO,1960,
AO,1992,
AO,1985,
AO,1978,
AO,2010,-0.22
AO,1971,
AO,2003,-1.03
AO,1964,
AO,1996,-2.11
AO,1989,
AO,1982,
AO,2014,-0.27
AO,1975,
AO,2007,-0.7
AO,1968,
AO,2000,-2.09
AO,1961,
AO,1993,
AO,1986,
AO,1979,
AO,2011,-0.36
AO,1972,
AO,2004,-1.04
AO,1965,
AO,1997,
AO,1990,
AO,1983,
AO,2015,
AO,1976,
AO,2008,-0.35
AO,1969,
AO,2001,
AO,1962,
AO,1994,
AO,1987,
AO,1980,
AO,2012,-0.38
AO,1973,
AO,2005,-0.89
AO,1966,
AO,1998,-2.35
AO,1991,
